,ligand,receptor,species,score
EFNA4_EPHA10,EFNA4,EPHA10,Human,1
BMP2_ENG,BMP2,ENG,Human,1
ALOX5AP_ALOX5,ALOX5AP,ALOX5,Human,1
BMP2_BMPR2,BMP2,BMPR2,Human,1
RGMA_BMPR2,RGMA,BMPR2,Human,1
VEGFA_EPHB2,VEGFA,EPHB2,Human,1
AFDN_EPHB2,AFDN,EPHB2,Human,1
PSAP_AR,PSAP,AR,Human,1
PLTP_ABCA1,PLTP,ABCA1,Human,1
HLA-C_NOTCH4,HLA-C,NOTCH4,Human,1
TNF_TNFRSF1B,TNF,TNFRSF1B,Human,1
EDN1_EDNRB,EDN1,EDNRB,Human,1
SPTBN2_PTPRA,SPTBN2,PTPRA,Human,1
NCAM1_PTPRA,NCAM1,PTPRA,Human,1
MDK_SDC1,MDK,SDC1,Human,1
CCL5_SDC1,CCL5,SDC1,Human,1
SLIT2_SDC1,SLIT2,SDC1,Human,1
LAMA1_TMPRSS6,LAMA1,TMPRSS6,Human,1
HLA-G_KLRD1,HLA-G,KLRD1,Human,1
B2M_KLRD1,B2M,KLRD1,Human,1
HLA-B_KLRD1,HLA-B,KLRD1,Human,1
LRPAP1_VLDLR,LRPAP1,VLDLR,Human,1
APOC1_VLDLR,APOC1,VLDLR,Human,1
RELN_VLDLR,RELN,VLDLR,Human,1
HLA-G_LILRB2,HLA-G,LILRB2,Human,1
B2M_LILRB2,B2M,LILRB2,Human,1
HLA-A_LILRB2,HLA-A,LILRB2,Human,1
INS_LILRB2,INS,LILRB2,Human,1
HLA-B_LILRB2,HLA-B,LILRB2,Human,1
TNF_VSIR,TNF,VSIR,Human,1
LAMA2_ITGB1,LAMA2,ITGB1,Human,1
LAMB2_ITGB1,LAMB2,ITGB1,Human,1
NPNT_ITGB1,NPNT,ITGB1,Human,1
MDK_ITGB1,MDK,ITGB1,Human,1
RELN_ITGB1,RELN,ITGB1,Human,1
ADAM9_ITGB1,ADAM9,ITGB1,Human,1
VEGFA_ITGB1,VEGFA,ITGB1,Human,1
SEMA4D_CD72,SEMA4D,CD72,Human,1
SPON2_ITGB2,SPON2,ITGB2,Human,1
ICAM2_ITGB2,ICAM2,ITGB2,Human,1
TNF_TRPM2,TNF,TRPM2,Human,1
VEGFA_SIRPA,VEGFA,SIRPA,Human,1
LAMA2_ITGA6,LAMA2,ITGA6,Human,1
ADAM9_ITGA6,ADAM9,ITGA6,Human,1
ADM_CALCRL,ADM,CALCRL,Human,1
NCAM1_FGFR1,NCAM1,FGFR1,Human,1
VIM_CD44,VIM,CD44,Human,1
SEMA4D_PLXNB2,SEMA4D,PLXNB2,Human,1
NCAM1_FGFR2,NCAM1,FGFR2,Human,1
CXCL17_GPR35,CXCL17,GPR35,Human,1
NCAM1_ROBO1,NCAM1,ROBO1,Human,1
SLIT2_ROBO1,SLIT2,ROBO1,Human,1
B2M_CD3G,B2M,CD3G,Human,1
